name	pop2020	pop2019	area	Density	rank
China	1439323.776	1433783.686	9706961	148.7815	1
India	1380004.385	1366417.754	3287590	423.8391	2
United States	331002.651	329064.917	9372610	35.52	3
Indonesia	273523.615	270625.568	1904569	145.1046	4
Pakistan	220892.34	216565.318	881912	255.3542	5
Brazil	212559.417	211049.527	8515767	25.1291	6
Nigeria	206139.589	200963.599	923768	228.8461	7
Bangladesh	164689.383	163046.161	147570	1126.9465	8
Russia	145934.462	145872.256	17098242	8.5337	9
Mexico	128932.753	127575.529	1964375	66.3123	10
Japan	126476.461	126860.301	377930	333.5295	11
Ethiopia	114963.588	112078.73	1104300	106.7429	12
Philippines	109581.078	108116.615	342353	324.3638	13
Egypt	102334.404	100388.073	1002450	104.0035	14
Vietnam	97338.579	96462.106	331212	296.3927	15
DR Congo	89561.403	86790.567	2344858	39.396	16
Turkey	84339.067	83429.615	783562	108.5335	17
Iran	83992.949	82913.906	1648195	51.589	18
Germany	83783.942	83517.045	357114	234.9403	19
Thailand	69799.978	69625.582	513120	136.3245	20
United Kingdom	67886.011	67530.172	242900	280.8033	21
France	65273.511	65129.728	551695	118.5912	22
Tanzania	59734.218	58005.463	945087	65.0717	23
Italy	60461.826	60550.075	301336	200.3328	24
South Africa	59308.69	58558.27	1221037	49.173	25
Kenya	53771.296	52573.973	580367	94.743	26
Myanmar	54409.8	54045.42	676578	81.0047	27
South Korea	51269.185	51225.308	100210	511.9767	28
Colombia	50882.891	50339.443	1141748	44.9012	29
Uganda	45741.007	44269.594	241550	195.0881	30
Spain	46754.778	46736.776	505992	92.3833	31
Argentina	45195.774	44780.677	2780400	16.4026	32
Sudan	43849.26	42813.238	1886068	23.8111	33
Algeria	43851.044	43053.054	2381741	18.7328	34
Ukraine	43733.762	43993.638	603500	72.0246	35
Iraq	40222.493	39309.783	438317	93.9488	36
Afghanistan	38928.346	38041.754	652230	61.0757	37
Canada	37742.154	37411.047	9984670	3.8126	38
Poland	37846.611	37887.768	312679	120.8812	39
Morocco	36910.56	36471.769	446550	83.6296	40
Saudi Arabia	34813.871	34268.528	2149690	16.4399	41
Uzbekistan	33469.203	32981.716	447400	75.8511	42
Angola	32866.272	31825.295	1246700	27.2187	43
Peru	32971.854	32510.453	1285216	25.9563	44
Malaysia	32365.999	31949.777	330803	99.0807	45
Mozambique	31255.435	30366.036	801590	40.1241	46
Ghana	31072.94	30417.856	238533	133.0304	47
Yemen	29825.964	29161.922	527968	57.7509	48
Nepal	29136.808	28608.71	147181	201.6219	49
Venezuela	28435.94	28515.829	916445	31.3221	50
Madagascar	27691.018	26969.307	587041	48.4248	51
Cameroon	26545.863	25876.38	475442	57.261	52
Ivory Coast	26378.274	25716.544	322463	83.8968	53
North Korea	25778.816	25666.161	120538	214.7625	54
Australia	25499.884	25203.198	7692024	3.3526	55
Niger	24206.644	23310.715	1267000	19.8349	56
Taiwan	23816.775	23773.876	36193	659.1056	57
Sri Lanka	21413.249	21323.733	65610	327.6529	58
Burkina Faso	20903.273	20321.378	272967	78.7535	59
Mali	20250.833	19658.031	1240192	16.8165	60
Malawi	19129.952	18628.747	118484	165.8256	61
Chile	19116.201	18952.038	756102	25.4097	62
Romania	19237.691	19364.557	238391	80.237	63
Kazakhstan	18776.707	18551.427	2724900	6.9709	64
Zambia	18383.955	17861.03	752612	25.14	65
Syria	17500.658	17070.135	185180	98.6916	66
Guatemala	17915.568	17581.472	108889	167.6006	67
Ecuador	17643.054	17373.662	276841	64.6164	68
Senegal	16743.927	16296.364	196722	87.4142	69
Netherlands	17134.872	17097.13	41850	410.3488	70
Cambodia	16718.965	16486.542	181035	93.6086	71
Chad	16425.864	15946.876	1284000	13.1737	72
Somalia	15893.222	15442.905	637657	25.6556	73
Zimbabwe	14862.924	14645.468	390757	38.6229	74
Guinea	13132.795	12771.246	245857	54.8988	75
Rwanda	12952.218	12626.95	26338	504.082	76
Benin	12123.2	11801.151	112622	110.556	77
Burundi	11890.784	11530.58	27834	440.3044	78
Tunisia	11818.619	11694.719	163610	72.9525	79
Bolivia	11673.021	11513.1	1098581	10.7711	80
Belgium	11589.623	11539.328	30528	381.0379	81
Haiti	11402.528	11263.077	27750	415.9166	82
South Sudan	11193.725	11062.113	619745	18.3646	83
Cuba	11326.616	11333.483	109884	102.995	84
Dominican Republic	10847.91	10738.958	48671	225.056	85
Czech Republic	10708.981	10689.209	78865	135.9862	86
Greece	10423.054	10473.455	131990	78.5722	87
Jordan	10203.134	10101.694	89342	114.9406	88
Azerbaijan	10139.177	10047.718	86600	118.0524	89
Portugal	10196.709	10226.187	92090	110.4129	90
Sweden	10099.265	10036.379	450295	22.5634	91
Honduras	9904.607	9746.117	112492	89.4552	92
United Arab Emirates	9890.402	9770.529	83600	119.5106	93
Tajikistan	9537.645	9321.018	143100	68.1316	94
Hungary	9660.351	9684.679	93028	103.562	95
Belarus	9449.323	9452.411	207600	45.4858	96
Papua New Guinea	8947.024	8776.109	462840	19.7023	97
Austria	9006.398	8955.102	83871	107.8212	98
Israel	8655.535	8519.377	20770	423.1957	99
Switzerland	8654.622	8591.365	41284	211.1107	100
Serbia	8737.371	8772.235	88361	98.432	101
Togo	8278.724	8082.366	56785	149.3044	102
Sierra Leone	7976.983	7813.215	71740	113.484	103
Hong Kong	7496.981	7436.154	1104	6841.3134	104
Laos	7275.56	7169.455	236800	31.1628	105
Paraguay	7132.538	7044.636	406752	17.7495	106
Libya	6871.292	6777.452	1759540	3.9547	107
Bulgaria	6948.445	7000.119	110879	62.1999	108
Lebanon	6825.445	6855.713	10452	647.6412	109
Nicaragua	6624.554	6545.502	130373	51.4093	110
Kyrgyzstan	6524.195	6415.85	199951	33.1499	111
El Salvador	6486.205	6453.553	21041	309.7999	112
Turkmenistan	6031.2	5942.089	488100	12.5342	113
Singapore	5850.342	5804.337	710	8305.1915	114
Denmark	5792.202	5771.876	43094	134.8981	115
Republic of the Congo	5518.087	5380.508	342000	16.541	116
Finland	5540.72	5532.156	338424	16.3947	117
